Temperature,Humidity,Heart_rate,Swim_angle,Label
32,405,72,260,Abnormal Humidity
31,324,71,334,Abnormal Swim-Angle
31,472,71,233,Abnormal Humidity
35,352,67,272,Normal
30,350,72,384,Abnormal Swim-Angle
35,471,72,269,Abnormal Humidity
30,395,70,203,Normal
41,300,67,246,Abnormal Temperature
34,383,69,283,Normal
34,334,68,373,Abnormal Swim-Angle
32,325,72,360,Abnormal Swim-Angle
29,364,81,219,Abnormal Heart-Rate
34,376,78,295,Abnormal Heart-Rate
30,385,82,278,Abnormal Heart-Rate
32,334,70,351,Abnormal Swim-Angle
31,392,69,273,Normal
29,364,70,392,Abnormal Swim-Angle
32,383,69,383,Abnormal Swim-Angle
32,395,72,369,Abnormal Swim-Angle
29,302,69,378,Abnormal Swim-Angle
36,375,71,236,Abnormal Temperature
38,388,69,256,Abnormal Temperature
41,384,70,280,Abnormal Temperature
32,425,65,209,Abnormal Humidity
30,359,77,212,Abnormal Heart-Rate
40,308,67,263,Abnormal Temperature
28,463,66,274,Abnormal Humidity
39,315,69,274,Abnormal Temperature
34,387,71,396,Abnormal Swim-Angle
37,384,66,274,Abnormal Temperature
30,363,70,274,Normal
28,356,72,385,Abnormal Swim-Angle
30,318,69,380,Abnormal Swim-Angle
28,491,68,277,Abnormal Humidity
30,341,71,377,Abnormal Swim-Angle
31,339,70,393,Abnormal Swim-Angle
33,441,66,243,Abnormal Humidity
28,474,70,269,Abnormal Humidity
29,304,70,362,Abnormal Swim-Angle
32,398,68,377,Abnormal Swim-Angle
31,324,75,299,Abnormal Heart-Rate
28,320,67,213,Normal
28,411,66,297,Abnormal Humidity
35,391,65,231,Normal
30,487,68,287,Abnormal Humidity
37,327,68,214,Abnormal Temperature
35,325,68,280,Abnormal Temperature
33,411,70,270,Abnormal Humidity
28,325,67,281,Normal
36,370,67,247,Abnormal Temperature
29,305,70,364,Abnormal Swim-Angle
29,316,65,223,Normal
38,344,67,284,Abnormal Temperature
31,377,72,215,Normal
32,383,67,233,Normal
40,400,68,210,Abnormal Temperature
35,349,66,289,Normal
31,390,70,215,Normal
39,367,71,249,Abnormal Temperature
34,400,71,202,Normal
31,324,74,239,Abnormal Heart-Rate
39,370,67,241,Abnormal Temperature
32,366,72,364,Abnormal Swim-Angle
30,353,75,207,Abnormal Heart-Rate
30,361,74,220,Abnormal Heart-Rate
34,346,66,222,Normal
39,372,70,226,Abnormal Temperature
29,451,70,206,Abnormal Humidity
34,355,71,262,Normal
35,363,82,222,Abnormal Heart-Rate
32,423,65,235,Abnormal Humidity
33,401,66,246,Abnormal Humidity
34,375,68,350,Abnormal Swim-Angle
31,363,69,248,Normal
31,359,72,385,Abnormal Swim-Angle
35,472,70,228,Abnormal Humidity
29,471,66,247,Abnormal Humidity
30,410,71,264,Abnormal Humidity
41,371,68,296,Abnormal Temperature
30,384,66,290,Normal
28,362,84,234,Abnormal Heart-Rate
30,330,72,200,Normal
32,379,73,235,Abnormal Heart-Rate
33,394,81,221,Abnormal Heart-Rate
39,315,71,285,Abnormal Temperature
35,339,72,271,Abnormal Temperature
29,429,71,275,Abnormal Humidity
42,310,70,233,Abnormal Temperature
38,340,66,248,Abnormal Temperature
35,301,72,206,Normal
34,305,70,305,Abnormal Swim-Angle
28,476,67,270,Abnormal Humidity
31,320,79,267,Abnormal Heart-Rate
35,484,68,246,Abnormal Humidity
30,499,66,290,Abnormal Humidity
33,337,68,329,Abnormal Swim-Angle
41,300,67,224,Abnormal Temperature
31,371,68,389,Abnormal Swim-Angle
35,465,71,236,Abnormal Humidity
28,389,67,231,Normal
40,330,72,211,Abnormal Temperature
40,311,66,278,Abnormal Temperature
31,397,69,365,Abnormal Swim-Angle
34,311,72,347,Abnormal Swim-Angle
33,336,72,279,Normal
33,390,65,288,Normal
30,355,66,258,Normal
32,462,68,272,Abnormal Humidity
33,361,70,213,Normal
29,423,69,260,Abnormal Humidity
41,340,66,276,Abnormal Temperature
34,306,72,293,Normal
34,422,66,258,Abnormal Humidity
42,393,69,267,Abnormal Temperature
34,407,65,209,Abnormal Humidity
33,389,75,226,Abnormal Heart-Rate
36,400,68,292,Abnormal Temperature
31,488,68,292,Abnormal Humidity
33,395,70,380,Abnormal Swim-Angle
29,313,72,348,Abnormal Swim-Angle
31,484,71,215,Abnormal Humidity
29,311,70,395,Abnormal Swim-Angle
40,345,70,266,Abnormal Temperature
38,371,70,260,Abnormal Temperature
28,479,69,285,Abnormal Humidity
33,374,68,380,Abnormal Swim-Angle
28,340,73,239,Abnormal Heart-Rate
30,359,70,206,Normal
31,482,72,246,Abnormal Humidity
30,353,79,231,Abnormal Heart-Rate
29,354,71,312,Abnormal Swim-Angle
34,316,69,251,Normal
29,477,65,212,Abnormal Humidity
29,357,68,261,Normal
36,322,71,218,Abnormal Temperature
39,322,71,274,Abnormal Temperature
40,388,67,282,Abnormal Temperature
29,385,70,322,Abnormal Swim-Angle
35,328,69,345,Abnormal Swim-Angle
38,324,72,217,Abnormal Temperature
36,375,65,282,Abnormal Temperature
28,453,72,212,Abnormal Humidity
31,336,69,379,Abnormal Swim-Angle
30,344,69,310,Abnormal Swim-Angle
31,364,66,235,Normal
29,380,73,214,Abnormal Heart-Rate
35,378,74,247,Abnormal Heart-Rate
31,331,78,227,Abnormal Heart-Rate
35,343,67,287,Normal
41,312,68,239,Abnormal Temperature
39,351,67,210,Abnormal Temperature
38,368,69,206,Abnormal Temperature
35,382,70,277,Abnormal Temperature
33,455,69,300,Abnormal Humidity
29,320,69,383,Abnormal Swim-Angle
29,436,68,264,Abnormal Humidity
29,450,71,292,Abnormal Humidity
29,357,82,293,Abnormal Heart-Rate
35,490,69,230,Abnormal Humidity
34,343,72,263,Normal
33,364,66,276,Normal
31,344,69,385,Abnormal Swim-Angle
32,301,69,300,Abnormal Swim-Angle
33,339,71,304,Abnormal Swim-Angle
35,355,65,205,Normal
31,500,67,237,Abnormal Humidity
32,381,67,261,Normal
32,374,72,339,Abnormal Swim-Angle
29,365,68,327,Abnormal Swim-Angle
41,301,67,224,Abnormal Temperature
34,354,69,328,Abnormal Swim-Angle
39,353,70,237,Abnormal Temperature
30,409,72,257,Abnormal Humidity
35,380,72,274,Normal
28,326,68,212,Normal
31,305,70,222,Normal
34,355,71,246,Normal
32,363,81,253,Abnormal Heart-Rate
35,318,71,389,Abnormal Swim-Angle
28,341,71,356,Abnormal Swim-Angle
30,337,81,201,Abnormal Heart-Rate
29,300,72,347,Abnormal Swim-Angle
34,491,70,282,Abnormal Humidity
38,381,70,247,Abnormal Temperature
29,327,79,230,Abnormal Heart-Rate
35,400,68,283,Abnormal Temperature
33,337,72,305,Abnormal Swim-Angle
28,379,69,398,Abnormal Swim-Angle
28,371,67,222,Normal
34,387,79,225,Abnormal Heart-Rate
30,333,71,271,Normal
35,321,66,238,Abnormal Temperature
30,309,68,302,Abnormal Swim-Angle
36,319,69,221,Abnormal Temperature
28,346,75,207,Abnormal Heart-Rate
39,387,65,296,Abnormal Temperature
31,357,67,222,Normal
29,441,69,259,Abnormal Humidity
32,484,68,272,Abnormal Humidity
33,462,66,296,Abnormal Humidity
33,337,71,382,Abnormal Swim-Angle
32,374,71,266,Normal
34,322,74,238,Abnormal Heart-Rate
30,346,65,228,Normal
36,354,70,298,Abnormal Temperature
30,315,70,310,Abnormal Swim-Angle
33,430,65,268,Abnormal Humidity
32,495,67,247,Abnormal Humidity
30,365,68,371,Abnormal Swim-Angle
30,334,65,300,Normal
30,350,68,220,Normal
30,342,70,259,Normal
31,320,72,332,Abnormal Swim-Angle
35,356,84,231,Abnormal Heart-Rate
32,477,66,224,Abnormal Humidity
42,364,68,299,Abnormal Temperature
29,334,70,261,Normal
29,354,78,266,Abnormal Heart-Rate
28,342,68,329,Abnormal Swim-Angle
30,314,65,246,Normal
40,374,70,228,Abnormal Temperature
35,346,84,271,Abnormal Heart-Rate
28,463,70,268,Abnormal Humidity
34,499,69,271,Abnormal Humidity
32,333,71,243,Normal
29,380,66,216,Normal
31,385,83,225,Abnormal Heart-Rate
33,309,76,287,Abnormal Heart-Rate
37,392,67,235,Abnormal Temperature
29,468,69,281,Abnormal Humidity
33,332,71,392,Abnormal Swim-Angle
32,300,69,372,Abnormal Swim-Angle
29,342,85,287,Abnormal Heart-Rate
32,391,71,356,Abnormal Swim-Angle
32,414,72,291,Abnormal Humidity
31,449,71,229,Abnormal Humidity
29,314,65,201,Normal
32,400,68,262,Normal
32,380,77,299,Abnormal Heart-Rate
29,394,75,284,Abnormal Heart-Rate
30,302,72,210,Normal
29,311,66,262,Normal
28,344,78,206,Abnormal Heart-Rate
30,361,69,344,Abnormal Swim-Angle
39,324,72,257,Abnormal Temperature
34,435,67,238,Abnormal Humidity
30,382,69,296,Normal
38,331,71,267,Abnormal Temperature
36,342,70,250,Abnormal Temperature
29,409,72,239,Abnormal Humidity
32,401,72,231,Abnormal Humidity
29,423,70,246,Abnormal Humidity
33,385,85,223,Abnormal Heart-Rate
33,350,74,223,Abnormal Heart-Rate
39,300,69,216,Abnormal Temperature
41,334,71,289,Abnormal Temperature
37,329,69,239,Abnormal Temperature
35,406,65,255,Abnormal Humidity
32,416,66,217,Abnormal Humidity
31,315,82,252,Abnormal Heart-Rate
38,390,70,291,Abnormal Temperature
32,496,69,240,Abnormal Humidity
39,372,68,249,Abnormal Temperature
33,378,84,279,Abnormal Heart-Rate
35,373,72,246,Abnormal Temperature
35,384,81,289,Abnormal Heart-Rate
33,356,65,296,Normal
35,499,69,270,Abnormal Humidity
38,350,66,206,Abnormal Temperature
35,362,66,234,Normal
34,300,84,272,Abnormal Heart-Rate
32,310,67,255,Normal
34,332,68,373,Abnormal Swim-Angle
28,328,72,387,Abnormal Swim-Angle
31,439,66,273,Abnormal Humidity
29,400,69,327,Abnormal Swim-Angle
33,409,70,230,Abnormal Humidity
35,387,71,324,Abnormal Swim-Angle
34,366,65,236,Normal
31,350,70,337,Abnormal Swim-Angle
28,310,71,238,Normal
30,314,72,341,Abnormal Swim-Angle
35,334,75,243,Abnormal Heart-Rate
35,375,68,285,Normal
40,388,65,239,Abnormal Temperature
35,393,77,237,Abnormal Heart-Rate
34,423,68,242,Abnormal Humidity
35,304,79,208,Abnormal Heart-Rate
35,498,67,257,Abnormal Humidity
34,343,72,225,Normal
30,481,69,243,Abnormal Humidity
41,304,69,252,Abnormal Temperature
31,314,69,336,Abnormal Swim-Angle
30,375,85,209,Abnormal Heart-Rate
29,364,67,226,Normal
32,305,71,256,Normal
33,457,65,270,Abnormal Humidity
36,393,71,208,Abnormal Temperature
29,319,78,259,Abnormal Heart-Rate
29,357,70,384,Abnormal Swim-Angle
41,329,69,227,Abnormal Temperature
39,357,68,236,Abnormal Temperature
29,375,72,206,Normal
30,449,68,258,Abnormal Humidity
35,356,67,212,Normal
33,349,72,280,Normal
34,368,67,250,Normal
31,335,68,315,Abnormal Swim-Angle
31,303,67,227,Normal
29,391,72,330,Abnormal Swim-Angle
35,383,69,234,Abnormal Temperature
33,403,67,220,Abnormal Humidity
28,317,71,207,Normal
28,347,82,215,Abnormal Heart-Rate
38,364,68,230,Abnormal Temperature
35,377,70,217,Normal
29,381,67,267,Normal
35,357,71,353,Abnormal Swim-Angle
28,372,72,296,Normal
30,378,68,329,Abnormal Swim-Angle
31,345,68,309,Abnormal Swim-Angle
39,330,69,229,Abnormal Temperature
41,334,68,288,Abnormal Temperature
33,387,78,221,Abnormal Heart-Rate
31,301,70,272,Normal
32,392,67,242,Normal
30,331,75,250,Abnormal Heart-Rate
29,358,71,375,Abnormal Swim-Angle
34,320,72,338,Abnormal Swim-Angle
40,300,66,293,Abnormal Temperature
35,300,72,367,Abnormal Swim-Angle
41,329,70,269,Abnormal Temperature
41,334,65,256,Abnormal Temperature
36,322,66,249,Abnormal Temperature
36,363,68,218,Abnormal Temperature
35,304,70,375,Abnormal Swim-Angle
29,445,69,230,Abnormal Humidity
40,391,68,211,Abnormal Temperature
35,397,65,204,Abnormal Temperature
35,346,66,263,Abnormal Temperature
32,376,67,226,Normal
30,317,68,251,Normal
32,395,75,251,Abnormal Heart-Rate
34,325,71,206,Normal
42,400,67,228,Abnormal Temperature
33,350,69,382,Abnormal Swim-Angle
31,337,69,351,Abnormal Swim-Angle
29,399,74,209,Abnormal Heart-Rate
30,440,67,224,Abnormal Humidity
28,369,76,238,Abnormal Heart-Rate
30,325,85,206,Abnormal Heart-Rate
33,438,68,241,Abnormal Humidity
30,362,85,271,Abnormal Heart-Rate
30,491,69,267,Abnormal Humidity
31,316,78,240,Abnormal Heart-Rate
33,372,81,266,Abnormal Heart-Rate
29,391,69,339,Abnormal Swim-Angle
33,390,71,318,Abnormal Swim-Angle
32,320,76,281,Abnormal Heart-Rate
33,472,72,219,Abnormal Humidity
34,307,72,381,Abnormal Swim-Angle
30,495,67,300,Abnormal Humidity
42,361,68,262,Abnormal Temperature
30,316,71,400,Abnormal Swim-Angle
29,408,66,258,Abnormal Humidity
41,391,66,239,Abnormal Temperature
29,387,66,288,Normal
41,338,72,208,Abnormal Temperature
32,372,84,273,Abnormal Heart-Rate
29,351,71,216,Normal
33,447,72,259,Abnormal Humidity
31,304,72,398,Abnormal Swim-Angle
31,332,81,273,Abnormal Heart-Rate
29,398,82,290,Abnormal Heart-Rate
35,379,67,239,Abnormal Temperature
30,310,68,367,Abnormal Swim-Angle
35,361,70,222,Abnormal Temperature
30,318,71,307,Abnormal Swim-Angle
34,328,65,295,Normal
33,310,82,262,Abnormal Heart-Rate
28,423,67,288,Abnormal Humidity
30,458,68,263,Abnormal Humidity
30,370,68,219,Normal
35,491,69,232,Abnormal Humidity
31,367,67,291,Normal
34,363,70,351,Abnormal Swim-Angle
30,500,72,208,Abnormal Humidity
35,301,67,202,Normal
28,437,71,298,Abnormal Humidity
30,384,67,298,Normal
32,359,72,375,Abnormal Swim-Angle
35,351,66,235,Normal
34,485,65,284,Abnormal Humidity
32,410,69,270,Abnormal Humidity
35,398,76,272,Abnormal Heart-Rate
30,318,71,389,Abnormal Swim-Angle
41,325,71,287,Abnormal Temperature
40,388,70,278,Abnormal Temperature
31,367,85,294,Abnormal Heart-Rate
30,389,68,332,Abnormal Swim-Angle
29,312,72,360,Abnormal Swim-Angle
41,372,72,266,Abnormal Temperature
38,305,72,241,Abnormal Temperature
30,343,68,396,Abnormal Swim-Angle
35,469,71,295,Abnormal Humidity
28,353,70,209,Normal
35,395,70,218,Abnormal Temperature
38,333,71,283,Abnormal Temperature
28,308,72,363,Abnormal Swim-Angle
35,489,65,255,Abnormal Humidity
39,310,72,289,Abnormal Temperature
28,399,68,230,Normal
30,321,68,275,Normal
35,359,69,274,Normal
28,364,67,202,Normal
33,372,83,272,Abnormal Heart-Rate
30,403,72,201,Abnormal Humidity
32,378,70,291,Normal
29,486,71,209,Abnormal Humidity
37,375,65,257,Abnormal Temperature
34,474,71,207,Abnormal Humidity
29,341,74,286,Abnormal Heart-Rate
31,397,68,389,Abnormal Swim-Angle
33,392,85,271,Abnormal Heart-Rate
29,372,79,225,Abnormal Heart-Rate
29,354,69,315,Abnormal Swim-Angle
34,481,67,226,Abnormal Humidity
33,313,72,270,Normal
38,317,67,239,Abnormal Temperature
42,336,68,257,Abnormal Temperature
33,358,82,209,Abnormal Heart-Rate
31,357,69,352,Abnormal Swim-Angle
40,363,70,246,Abnormal Temperature
40,315,65,248,Abnormal Temperature
35,400,71,225,Normal
29,311,72,237,Normal
35,315,68,378,Abnormal Swim-Angle
40,327,66,230,Abnormal Temperature
35,392,72,377,Abnormal Swim-Angle
36,331,72,289,Abnormal Temperature
38,302,69,236,Abnormal Temperature
33,440,67,220,Abnormal Humidity
28,302,72,201,Normal
34,360,75,267,Abnormal Heart-Rate
31,355,71,320,Abnormal Swim-Angle
34,474,70,275,Abnormal Humidity
33,342,65,280,Normal
35,347,84,287,Abnormal Heart-Rate
29,360,76,222,Abnormal Heart-Rate
33,363,72,308,Abnormal Swim-Angle
33,499,65,290,Abnormal Humidity
32,361,71,302,Abnormal Swim-Angle
28,332,72,328,Abnormal Swim-Angle
32,376,70,400,Abnormal Swim-Angle
32,302,65,227,Normal
32,459,71,238,Abnormal Humidity
37,328,69,295,Abnormal Temperature
35,486,66,270,Abnormal Humidity
28,342,77,252,Abnormal Heart-Rate
28,305,70,277,Normal
37,359,71,250,Abnormal Temperature
35,400,77,200,Abnormal Heart-Rate
34,353,82,209,Abnormal Heart-Rate
32,375,82,237,Abnormal Heart-Rate
35,361,72,202,Abnormal Temperature
32,383,84,276,Abnormal Heart-Rate
30,391,69,317,Abnormal Swim-Angle
32,482,68,298,Abnormal Humidity
35,459,68,210,Abnormal Humidity
32,314,67,271,Normal
29,330,71,310,Abnormal Swim-Angle
33,417,66,292,Abnormal Humidity
35,435,66,212,Abnormal Humidity
38,358,71,250,Abnormal Temperature
29,438,70,204,Abnormal Humidity
34,351,70,244,Normal
31,331,71,222,Normal
33,320,71,378,Abnormal Swim-Angle
32,307,68,259,Normal
35,331,79,201,Abnormal Heart-Rate
30,366,72,384,Abnormal Swim-Angle
28,441,70,289,Abnormal Humidity
35,322,84,232,Abnormal Heart-Rate
31,362,72,293,Normal
29,329,65,274,Normal
28,385,68,273,Normal
34,396,67,270,Normal
34,380,69,338,Abnormal Swim-Angle
38,354,68,262,Abnormal Temperature
32,420,65,273,Abnormal Humidity
41,312,66,276,Abnormal Temperature
29,338,70,378,Abnormal Swim-Angle
35,365,72,220,Normal
34,371,72,216,Normal
28,332,70,392,Abnormal Swim-Angle
29,379,69,317,Abnormal Swim-Angle
28,368,70,382,Abnormal Swim-Angle
31,378,70,330,Abnormal Swim-Angle
42,400,67,219,Abnormal Temperature
39,325,70,242,Abnormal Temperature
35,318,72,252,Abnormal Temperature
31,456,69,271,Abnormal Humidity
31,359,72,360,Abnormal Swim-Angle
30,306,71,389,Abnormal Swim-Angle
29,458,71,275,Abnormal Humidity
30,366,72,392,Abnormal Swim-Angle
42,365,68,225,Abnormal Temperature
35,322,68,213,Normal
33,394,65,288,Normal
28,321,70,275,Normal
28,404,71,240,Abnormal Humidity
35,337,66,285,Abnormal Temperature
30,324,82,240,Abnormal Heart-Rate
34,455,72,243,Abnormal Humidity
31,370,65,226,Normal
33,307,71,384,Abnormal Swim-Angle
35,377,73,230,Abnormal Heart-Rate
38,331,65,284,Abnormal Temperature
41,395,71,204,Abnormal Temperature
29,311,70,399,Abnormal Swim-Angle
31,448,68,264,Abnormal Humidity
32,498,69,283,Abnormal Humidity
35,328,72,253,Normal
28,308,71,265,Normal
35,378,71,382,Abnormal Swim-Angle
34,479,67,224,Abnormal Humidity
36,392,69,246,Abnormal Temperature
42,349,67,241,Abnormal Temperature
42,327,70,299,Abnormal Temperature
42,321,72,291,Abnormal Temperature
28,354,82,203,Abnormal Heart-Rate
28,310,72,392,Abnormal Swim-Angle
35,352,85,264,Abnormal Heart-Rate
42,319,72,286,Abnormal Temperature
32,490,71,236,Abnormal Humidity
28,308,66,250,Normal
29,361,70,307,Abnormal Swim-Angle
32,335,72,255,Normal
28,370,71,380,Abnormal Swim-Angle
34,413,66,239,Abnormal Humidity
31,327,81,271,Abnormal Heart-Rate
38,378,66,227,Abnormal Temperature
29,337,68,290,Normal
34,476,71,238,Abnormal Humidity
31,367,70,291,Normal
34,491,67,209,Abnormal Humidity
40,347,66,240,Abnormal Temperature
31,351,69,361,Abnormal Swim-Angle
28,391,76,237,Abnormal Heart-Rate
28,375,71,378,Abnormal Swim-Angle
35,386,71,396,Abnormal Swim-Angle
28,500,65,249,Abnormal Humidity
36,394,66,218,Abnormal Temperature
28,307,75,226,Abnormal Heart-Rate
31,373,69,316,Abnormal Swim-Angle
40,382,72,233,Abnormal Temperature
29,313,66,267,Normal
34,342,77,218,Abnormal Heart-Rate
35,319,83,293,Abnormal Heart-Rate
32,398,76,221,Abnormal Heart-Rate
30,324,79,251,Abnormal Heart-Rate
34,316,72,377,Abnormal Swim-Angle
35,368,67,295,Normal
33,334,85,293,Abnormal Heart-Rate
33,306,80,248,Abnormal Heart-Rate
32,438,70,215,Abnormal Humidity
32,440,67,270,Abnormal Humidity
31,443,68,266,Abnormal Humidity
34,398,71,244,Normal
40,371,72,235,Abnormal Temperature
35,386,73,204,Abnormal Heart-Rate
31,328,79,269,Abnormal Heart-Rate
31,402,66,233,Abnormal Humidity
29,380,83,238,Abnormal Heart-Rate
35,328,66,293,Abnormal Temperature
35,401,69,261,Abnormal Humidity
39,324,65,292,Abnormal Temperature
28,422,65,289,Abnormal Humidity
30,348,84,222,Abnormal Heart-Rate
31,410,68,228,Abnormal Humidity
35,374,73,223,Abnormal Heart-Rate
37,369,72,287,Abnormal Temperature
31,394,71,250,Normal
30,337,72,321,Abnormal Swim-Angle
31,420,72,236,Abnormal Humidity
31,413,67,272,Abnormal Humidity
32,368,72,242,Normal
31,408,71,269,Abnormal Humidity
32,323,85,236,Abnormal Heart-Rate
32,392,72,361,Abnormal Swim-Angle
33,340,71,384,Abnormal Swim-Angle
35,338,81,292,Abnormal Heart-Rate
32,465,65,207,Abnormal Humidity
32,360,78,273,Abnormal Heart-Rate
33,327,76,295,Abnormal Heart-Rate
